YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,QV2M,T2M,WS10M
2021,1,1,5,0,0,-999,-999,-999,8.3,13.89,2.52
2021,1,1,6,0,0,-999,-999,-999,8.61,13.69,2.54
2021,1,1,7,42.3,38.66,0.23,0.17,83.07,8.91,15.23,2.63
2021,1,1,8,170.27,167.65,0.38,0.01,71.55,9.09,17.99,3.12
2021,1,1,9,326.15,321.8,0.48,0.03,61.27,9.34,21.03,2.11
2021,1,1,10,431.3,436.83,0.52,0.09,53.01,9.22,25,1.79
2021,1,1,11,529.62,531.93,0.56,0.09,47.85,9.28,27.58,1.94
2021,1,1,12,473.12,472.57,0.49,0.09,46.84,9.4,28.83,1.94
2021,1,1,13,437.33,433.55,0.48,0.07,50.21,9.46,29.43,2.2
2021,1,1,14,334.48,338.9,0.45,0.04,57.2,9.46,29.38,2.48
2021,1,1,15,201.45,206.35,0.37,0.01,66.68,9.52,28.8,2.65
2021,1,1,16,93.38,98.18,0.33,0.13,77.73,10.74,26.5,1.95
2021,1,1,17,6.6,9.66,0.23,0.12,88.33,9.58,23.11,2.72
2021,1,1,18,0,0,-999,-999,-999,8.79,21.67,3.17
2021,1,1,19,0,0,-999,-999,-999,8.06,20.71,3.44
2021,1,1,20,0,0,-999,-999,-999,7.32,19.64,3.68
2021,1,1,21,0,0,-999,-999,-999,6.71,18.58,3.72
2021,1,1,22,0,0,-999,-999,-999,6.35,17.53,3.35
2021,1,1,23,0,0,-999,-999,-999,6.16,16.66,2.88
2021,1,2,0,0,0,-999,-999,-999,6.1,16.01,2.54
2021,1,2,1,0,0,-999,-999,-999,6.16,15.69,2.33
2021,1,2,2,0,0,-999,-999,-999,6.04,15.2,2.3
2021,1,2,3,0,0,-999,-999,-999,5.92,14.82,2.29
2021,1,2,4,0,0,-999,-999,-999,5.8,14.4,2.24
2021,1,2,5,0,0,-999,-999,-999,5.74,14.01,2.17
2021,1,2,6,0,0,-999,-999,-999,5.62,13.64,2.13
2021,1,2,7,45.88,44.41,0.27,0.17,83.13,5.55,14.76,2.32
2021,1,2,8,190.73,174.81,0.39,0.01,71.58,5.37,16.86,2.36
2021,1,2,9,364.77,324.59,0.48,0.06,61.27,5.49,19.99,1.89
2021,1,2,10,511.6,490.52,0.58,0.09,52.98,5,24.49,2.63
2021,1,2,11,602.2,553.91,0.59,0.1,47.79,5.19,26.45,3.13
2021,1,2,12,478.12,473.45,0.49,0.06,46.73,5.43,27.49,3.51
2021,1,2,13,435.4,421.06,0.47,0.05,50.09,5.68,28.05,3.95
2021,1,2,14,336.5,341.02,0.45,0.02,57.06,5.74,27.97,4.16
2021,1,2,15,223.15,228.69,0.41,0,66.54,5.49,27.25,4.12
2021,1,2,16,100.9,105.05,0.34,0.12,77.59,6.41,24.9,2.74
2021,1,2,17,6.98,10.1,0.23,0.12,88.26,6.23,20.3,2.89
2021,1,2,18,0,0,-999,-999,-999,5.55,18.26,3.17
2021,1,2,19,0,0,-999,-999,-999,5.19,16.98,3.25
2021,1,2,20,0,0,-999,-999,-999,4.94,15.92,3.25
2021,1,2,21,0,0,-999,-999,-999,4.82,15.08,3.21
2021,1,2,22,0,0,-999,-999,-999,4.82,14.37,3.13
2021,1,2,23,0,0,-999,-999,-999,4.76,13.73,3.07
2021,1,3,0,0,0,-999,-999,-999,4.7,13.06,3.03
2021,1,3,1,0,0,-999,-999,-999,4.7,12.41,2.96
2021,1,3,2,0,0,-999,-999,-999,4.64,11.85,2.78
2021,1,3,3,0,0,-999,-999,-999,4.64,11.49,2.57
2021,1,3,4,0,0,-999,-999,-999,4.64,11.27,2.35
2021,1,3,5,0,0,-999,-999,-999,4.58,11.04,2.2
2021,1,3,6,0,0,-999,-999,-999,4.58,10.88,2.01
2021,1,3,7,49.33,51.02,0.3,0.16,83.18,4.82,12.4,1.72
2021,1,3,8,196.2,203.52,0.46,0.02,71.61,4.76,15.12,1.53
2021,1,3,9,370.77,378.71,0.56,0.08,61.27,5.07,18.42,1.23
2021,1,3,10,515.12,520.7,0.62,0.12,52.95,4.82,23.39,2.06
2021,1,3,11,612.58,613.95,0.65,0.13,47.72,4.58,25.65,2.55
2021,1,3,12,520.98,491.27,0.51,0.06,46.63,4.52,26.74,3.02
2021,1,3,13,478.05,435.32,0.48,0.05,49.95,4.52,27.33,3.44
2021,1,3,14,373.48,373.23,0.48,0.03,56.92,4.52,27.23,3.49
2021,1,3,15,230.62,230.95,0.41,0.01,66.4,4.58,26.41,3.31
2021,1,3,16,91.2,95.95,0.31,0.16,77.45,6.23,23.87,2.22
2021,1,3,17,7.73,10.95,0.24,0.12,88.18,6.16,19.48,2.78
2021,1,3,18,0,0,-999,-999,-999,5.86,17.74,3.06
2021,1,3,19,0,0,-999,-999,-999,5.74,16.72,3.11
2021,1,3,20,0,0,-999,-999,-999,5.62,15.87,3.13
2021,1,3,21,0,0,-999,-999,-999,5.55,15.21,3.14
2021,1,3,22,0,0,-999,-999,-999,5.55,14.62,3.12
2021,1,3,23,0,0,-999,-999,-999,5.62,14.04,3
2021,1,4,0,0,0,-999,-999,-999,5.62,13.48,2.85
2021,1,4,1,0,0,-999,-999,-999,5.62,12.99,2.74
2021,1,4,2,0,0,-999,-999,-999,5.55,12.55,2.66
2021,1,4,3,0,0,-999,-999,-999,5.43,12.2,2.61
2021,1,4,4,0,0,-999,-999,-999,5.31,11.94,2.53
2021,1,4,5,0,0,-999,-999,-999,5.19,11.82,2.4
2021,1,4,6,0,0,-999,-999,-999,5.13,11.9,2.2
2021,1,4,7,34.95,36.02,0.22,0.16,83.23,5.49,13.74,1.73
2021,1,4,8,143.33,147.57,0.34,0.01,71.63,5.19,17.08,1.37
2021,1,4,9,283.33,285.29,0.42,0.02,61.27,5.31,20.49,0.38
2021,1,4,10,411.98,410.31,0.48,0.05,52.92,4.82,24.76,1.27
2021,1,4,11,495.2,450.02,0.48,0.07,47.65,4.76,26.32,2.3
2021,1,4,12,425.35,373.8,0.38,0.07,46.52,4.82,26.92,3.11
2021,1,4,13,384.42,360.73,0.4,0.06,49.82,4.88,27.19,3.58
2021,1,4,14,292.05,274.85,0.36,0.04,56.78,5,27.1,3.56
2021,1,4,15,172.38,161.19,0.28,0.01,66.25,5.13,26.55,3.38
2021,1,4,16,66.92,67.12,0.22,0.16,77.3,6.59,24.44,2.29
2021,1,4,17,5.7,9.03,0.2,0.1,88.1,6.65,21.08,2.75
2021,1,4,18,0,0,-999,-999,-999,6.23,20.44,3.02
2021,1,4,19,0,0,-999,-999,-999,6.1,20,3.26
2021,1,4,20,0,0,-999,-999,-999,6.1,19.39,3.38
2021,1,4,21,0,0,-999,-999,-999,6.23,18.68,3.2
2021,1,4,22,0,0,-999,-999,-999,6.29,17.57,2.8
2021,1,4,23,0,0,-999,-999,-999,6.35,16.9,2.47
2021,1,5,0,0,0,-999,-999,-999,6.35,16.18,2.3
2021,1,5,1,0,0,-999,-999,-999,6.16,15.01,2.33
2021,1,5,2,0,0,-999,-999,-999,6.04,14.19,2.32
2021,1,5,3,0,0,-999,-999,-999,5.98,13.58,2.28
2021,1,5,4,0,0,-999,-999,-999,5.86,13.09,2.2
2021,1,5,5,0,0,-999,-999,-999,5.8,12.67,2.15
2021,1,5,6,0,0,-999,-999,-999,5.8,12.23,2.15
2021,1,5,7,38.95,39.88,0.24,0.17,83.27,5.86,13.34,2.42
2021,1,5,8,165.83,165.68,0.38,0.01,71.65,5.92,15.61,2.78
2021,1,5,9,325.98,320,0.48,0.03,61.27,6.16,18.88,2.23
2021,1,5,10,466.7,443.02,0.52,0.06,52.88,5.98,23.36,2.36
2021,1,5,11,556.3,538,0.57,0.08,47.56,5.98,25.2,2.71
2021,1,5,12,542.48,532.72,0.55,0.07,46.4,5.98,26.36,3.18
2021,1,5,13,464.92,470.59,0.52,0.09,49.68,5.86,27.04,3.59
2021,1,5,14,379.3,385.93,0.5,0.05,56.62,5.8,27.01,3.8
2021,1,5,15,243,248.22,0.44,0.01,66.1,5.68,26.28,3.86
2021,1,5,16,114.02,119.08,0.38,0.14,77.16,6.53,23.94,2.76
2021,1,5,17,9.05,12.54,0.26,0.13,88.02,6.41,19.49,3.11
2021,1,5,18,0,0,-999,-999,-999,5.98,17.94,3.51
2021,1,5,19,0,0,-999,-999,-999,5.8,17.09,3.75
2021,1,5,20,0,0,-999,-999,-999,5.8,16.26,3.84
2021,1,5,21,0,0,-999,-999,-999,5.86,15.47,3.82
2021,1,5,22,0,0,-999,-999,-999,5.92,14.67,3.73
2021,1,5,23,0,0,-999,-999,-999,6.1,13.92,3.64
2021,1,6,0,0,0,-999,-999,-999,6.23,13.24,3.56
2021,1,6,1,0,0,-999,-999,-999,6.41,12.62,3.47
2021,1,6,2,0,0,-999,-999,-999,6.47,12.05,3.38
